unique_id,population,number_of_miners,avg_probability,gold_stats,resource_stats,economic_opportunity,resources,trades
222,5,4,0.35388545899277757,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]",[14.82760583  9.061086    6.40373226  6.7795154   8.03042501],9.230716219409878,6.833640111793222,0
223,3,0,0.10924393037993746,"[['gold']
 ['gold']
 ['gold']]",[27.43930154 15.67881889  6.06307618],14.650711061363316,6.002593807145756,0
224,16,8,0.2692092344340865,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[23.37341324 18.95541977 24.9332589  12.81699463  9.93055306 14.47257502
  6.24094711  6.34023581 13.84722933  9.88839214  6.95971413  7.74423433
 14.77195629  7.51735866 16.36159977  7.94849479]",11.850720323205541,8.023811591961785,0
225,10,8,0.36689073935676675,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[12.10878385 10.95643565 11.24402675  4.93150284  3.8453055   5.86017879
  6.7059878  11.68346822 15.6926309   6.1493331 ]",8.394870981262047,8.37494042367006,0
226,14,7,0.28141521133894926,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[21.52176913 11.05397926 19.69284759  9.30717222 11.63680723  6.38288161
  5.97231441 13.20735364  6.98949807  7.95174583  5.6572416   5.92437115
  7.01640363  5.85531231]",9.387681295228212,11.262526203502842,0
227,14,6,0.2603952620807505,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[22.93693855  5.80827542 13.29256859  5.62176738 22.35418409  9.22361621
  6.20617729  7.30778836 11.84451442  4.10474334  9.36790156  3.        ]",9.963762421719368,10.557049038307202,0
228,14,10,0.31904412702330776,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[19.4894506  15.74215809 12.43555333  6.36687087  7.33288233  4.91303484
 10.22596428  7.18204153  5.61276723  7.04541342 14.07624716  7.55115493]",8.929133440784032,5.470029365250655,0
229,4,3,0.13197990605040044,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[17.45164974 14.51796945 11.06511528  3.        ],10.270698861365165,5.665946124411624,0
230,21,14,0.25831626033711425,"[['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']
 ['gold']]","[27.84282752 21.24738813 13.47851096  3.         14.51229193 16.5304722
 22.70756933 25.31846746  9.09021725  6.76870318  7.61949844  9.44597051
  6.97254589 25.70200227 11.50707282 11.36059567  6.84526244 10.84947589
  9.91628778]",13.06380754940235,10.183891666605751,0
231,4,2,0.24043671028653973,"[['gold']
 ['gold']
 ['gold']
 ['gold']]",[18.04829409  9.40288515  4.47033484  8.33530968],10.325172914509087,7.136058875410594,0
